epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,368.508,0.93995,0.70363,1.06569,0.90093,0.87059,0.90002,0.65471,0.98294,0.59623,1.04764,0.000742625,0.000742625,0.000742625
43,377.16,0.94361,0.69228,1.0659,0.90313,0.86015,0.91186,0.67593,0.91586,0.60846,1.0228,0.00073025,0.00073025,0.00073025
44,386.633,0.93823,0.71704,1.08346,0.92085,0.85568,0.91003,0.66577,0.94091,0.61644,1.02978,0.000717875,0.000717875,0.000717875
45,394.596,0.91447,0.70142,1.07079,0.92017,0.8554,0.91675,0.6729,0.95115,0.59057,1.02257,0.0007055,0.0007055,0.0007055
46,402.463,0.92019,0.70178,1.06277,0.89892,0.8617,0.91294,0.67002,0.95883,0.58321,1.03516,0.000693125,0.000693125,0.000693125
47,411.6,0.9291,0.67728,1.06782,0.9085,0.85336,0.90617,0.67061,0.92443,0.58344,1.03216,0.00068075,0.00068075,0.00068075
48,420.267,0.89334,0.65646,1.04831,0.88246,0.85007,0.89607,0.65319,0.96765,0.61024,1.03641,0.000668375,0.000668375,0.000668375
49,428.651,0.92169,0.68393,1.07072,0.92897,0.84288,0.89471,0.66193,0.94382,0.58658,1.03859,0.000656,0.000656,0.000656
50,437.97,0.94661,0.67371,1.06735,0.9055,0.8662,0.90321,0.66703,0.93478,0.57927,1.0367,0.000643625,0.000643625,0.000643625
51,446.1,0.90383,0.66511,1.04544,0.90668,0.84895,0.89869,0.67524,0.91047,0.5721,1.02503,0.00063125,0.00063125,0.00063125
52,454.888,0.91801,0.68196,1.07669,0.89187,0.85394,0.90337,0.67081,0.91925,0.66627,1.03618,0.000618875,0.000618875,0.000618875
53,463.468,0.91823,0.68048,1.06683,0.87322,0.86842,0.91573,0.67903,0.91784,0.60486,1.02479,0.0006065,0.0006065,0.0006065
54,472.129,0.92055,0.66723,1.06589,0.92126,0.85661,0.91697,0.66569,0.98563,0.58438,1.04033,0.000594125,0.000594125,0.000594125
55,480.981,0.88125,0.63166,1.03652,0.91103,0.86759,0.92235,0.67866,0.95426,0.57212,1.04094,0.00058175,0.00058175,0.00058175
56,490.01,0.88429,0.62749,1.04365,0.91571,0.86788,0.9184,0.66919,0.97053,0.56021,1.03717,0.000569375,0.000569375,0.000569375
57,496.874,0.88005,0.643,1.0351,0.91665,0.86831,0.91393,0.67848,0.94077,0.55348,1.02906,0.000557,0.000557,0.000557
58,505.092,0.87505,0.62974,1.04059,0.9144,0.86212,0.92121,0.66422,1.01642,0.54683,1.05063,0.000544625,0.000544625,0.000544625
